10:11AM  up 20 days, 14:36, 1 user, load averages: 0.18, 0.19, 0.17
10:11AM  up 20 days, 14:37, 1 user, load averages: 0.19, 0.20, 0.17
10:12AM  up 20 days, 14:37, 1 user, load averages: 0.11, 0.17, 0.16
10:12AM  up 20 days, 14:38, 1 user, load averages: 0.15, 0.18, 0.16
10:12AM  up 20 days, 14:38, 1 user, load averages: 0.18, 0.18, 0.16
10:13AM  up 20 days, 14:38, 1 user, load averages: 0.14, 0.17, 0.16
10:13AM  up 20 days, 14:39, 1 user, load averages: 0.24, 0.19, 0.17
10:13AM  up 20 days, 14:39, 1 user, load averages: 0.23, 0.19, 0.17
10:14AM  up 20 days, 14:39, 1 user, load averages: 0.17, 0.18, 0.16
10:14AM  up 20 days, 14:40, 1 user, load averages: 0.26, 0.20, 0.17
10:14AM  up 20 days, 14:40, 1 user, load averages: 0.53, 0.27, 0.19
10:15AM  up 20 days, 14:40, 1 user, load averages: 0.38, 0.25, 0.19
10:15AM  up 20 days, 14:41, 1 user, load averages: 0.61, 0.31, 0.21
10:15AM  up 20 days, 14:41, 1 user, load averages: 0.44, 0.29, 0.21
10:16AM  up 20 days, 14:41, 1 user, load averages: 0.54, 0.32, 0.22
10:16AM  up 20 days, 14:42, 1 user, load averages: 0.67, 0.36, 0.23
10:16AM  up 20 days, 14:42, 1 user, load averages: 0.55, 0.35, 0.23
10:17AM  up 20 days, 14:42, 1 user, load averages: 0.50, 0.35, 0.24
10:17AM  up 20 days, 14:43, 1 user, load averages: 0.43, 0.34, 0.24
10:17AM  up 20 days, 14:43, 1 user, load averages: 0.31, 0.32, 0.23
10:18AM  up 20 days, 14:43, 1 user, load averages: 0.22, 0.30, 0.22
10:18AM  up 20 days, 14:44, 1 user, load averages: 0.28, 0.31, 0.23
10:22AM  up 20 days, 14:48, 2 users, load averages: 0.81, 0.63, 0.39
10:23AM  up 20 days, 14:48, 2 users, load averages: 1.30, 0.75, 0.44
10:23AM  up 20 days, 14:48, 2 users, load averages: 1.07, 0.74, 0.44
10:23AM  up 20 days, 14:49, 1 user, load averages: 1.06, 0.75, 0.45
10:24AM  up 20 days, 14:49, 1 user, load averages: 1.18, 0.80, 0.47
10:24AM  up 20 days, 14:49, 1 user, load averages: 0.92, 0.76, 0.47
10:24AM  up 20 days, 14:50, 1 user, load averages: 1.21, 0.84, 0.50
10:25AM  up 20 days, 14:50, 1 user, load averages: 1.26, 0.88, 0.52
10:25AM  up 20 days, 14:50, 1 user, load averages: 1.06, 0.86, 0.52
10:25AM  up 20 days, 14:51, 1 user, load averages: 0.89, 0.83, 0.52
10:26AM  up 20 days, 14:51, 1 user, load averages: 0.64, 0.78, 0.50
10:26AM  up 20 days, 14:51, 1 user, load averages: 0.69, 0.78, 0.51
10:26AM  up 20 days, 14:52, 2 users, load averages: 0.54, 0.74, 0.50
10:27AM  up 20 days, 14:52, 2 users, load averages: 0.53, 0.72, 0.50
10:27AM  up 20 days, 14:52, 2 users, load averages: 0.76, 0.77, 0.52
10:27AM  up 20 days, 14:53, 2 users, load averages: 0.79, 0.77, 0.53
10:28AM  up 20 days, 14:53, 1 user, load averages: 0.79, 0.77, 0.53
